seed,repetition,opponent,target_avg,opponent_avg,margin
0,7,Tullock,1.37,1.295,0.07500000000000018
0,7,Anonymous,3.005,0.68,2.3249999999999997
0,7,Random: 0.5,2.985,0.635,2.3499999999999996
0,8,Cu,3.02,2.97,0.04999999999999982
0,8,Du,0.995,1.02,-0.025000000000000022
0,8,Tit For Tat,3.0,2.975,0.02499999999999991
0,8,spiteful,3.0,2.975,0.02499999999999991
0,8,soft_majo,3.02,2.97,0.04999999999999982
0,8,hard_majo,1.03,1.03,0.0
0,8,per_cd,2.98,0.555,2.425
0,8,per_ccd,3.42,1.245,2.175
0,8,per_ddc,2.315,0.69,1.625
0,8,mistrust,1.03,1.03,0.0
0,8,WSLS,3.0,2.975,0.02499999999999991
0,8,TFTT,3.02,2.97,0.04999999999999982
0,8,hard_tft,3.0,2.975,0.02499999999999991
0,8,slow_tft,3.02,2.97,0.04999999999999982
0,8,GrdTFT,3.0,2.975,0.02499999999999991
0,8,prober,2.995,2.97,0.02499999999999991
0,8,mem2,3.0,2.975,0.02499999999999991
0,8,grok:grok-3-mini,3.0,2.975,0.02499999999999991
0,8,Tideman & Chieruzzi,2.98,2.98,0.0
0,8,Nydegger,3.02,2.97,0.04999999999999982
0,8,Grofman,3.02,2.97,0.04999999999999982
0,8,Shubik,3.0,2.975,0.02499999999999991
0,8,Stein & Rapoport: 0.05,2.98,2.98,0.0
0,8,GRIM,3.0,2.975,0.02499999999999991
0,8,Davis: 10,3.0,2.975,0.02499999999999991
0,8,Graaskamp: 0.05,2.81,3.11,-0.2999999999999998
0,8,Downing,3.02,2.92,0.10000000000000009
0,8,"Feld: 1.0, 0.5, 200",1.84,1.99,-0.1499999999999999
0,8,Joss: 0.9,1.305,1.38,-0.07499999999999996
0,8,Tullock,1.435,1.485,-0.050000000000000044
0,8,Anonymous,2.75,0.65,2.1
0,8,Random: 0.5,2.83,0.63,2.2
0,9,Cu,3.02,2.97,0.04999999999999982
0,9,Du,0.995,1.02,-0.025000000000000022
0,9,Tit For Tat,3.0,2.975,0.02499999999999991
0,9,spiteful,3.0,2.975,0.02499999999999991
0,9,soft_majo,3.02,2.97,0.04999999999999982
0,9,hard_majo,1.03,1.03,0.0
0,9,per_cd,2.98,0.555,2.425
0,9,per_ccd,3.42,1.245,2.175
0,9,per_ddc,2.315,0.69,1.625
0,9,mistrust,1.03,1.03,0.0
0,9,WSLS,3.0,2.975,0.02499999999999991
0,9,TFTT,3.02,2.97,0.04999999999999982
0,9,hard_tft,3.0,2.975,0.02499999999999991
0,9,slow_tft,3.02,2.97,0.04999999999999982
0,9,GrdTFT,3.0,2.975,0.02499999999999991
0,9,prober,2.995,2.97,0.02499999999999991
0,9,mem2,3.0,2.975,0.02499999999999991
0,9,grok:grok-3-mini,3.0,2.975,0.02499999999999991
0,9,Tideman & Chieruzzi,2.98,2.98,0.0
0,9,Nydegger,3.02,2.97,0.04999999999999982
0,9,Grofman,3.02,2.97,0.04999999999999982
0,9,Shubik,3.0,2.975,0.02499999999999991
0,9,Stein & Rapoport: 0.05,2.98,2.98,0.0
0,9,GRIM,3.0,2.975,0.02499999999999991
0,9,Davis: 10,3.0,2.975,0.02499999999999991
0,9,Graaskamp: 0.05,2.825,3.1,-0.2749999999999999
0,9,Downing,3.02,2.92,0.10000000000000009
0,9,"Feld: 1.0, 0.5, 200",1.41,1.485,-0.07500000000000018
0,9,Joss: 0.9,1.065,1.09,-0.025000000000000133
0,9,Tullock,2.635,3.035,-0.40000000000000036
0,9,Anonymous,2.7,1.25,1.4500000000000002
0,9,Random: 0.5,2.89,0.765,2.125
0,10,Cu,3.02,2.97,0.04999999999999982
0,10,Du,0.995,1.02,-0.025000000000000022
0,10,Tit For Tat,3.0,2.975,0.02499999999999991
0,10,spiteful,3.0,2.975,0.02499999999999991
0,10,soft_majo,3.02,2.97,0.04999999999999982
0,10,hard_majo,1.03,1.03,0.0
0,10,per_cd,2.98,0.555,2.425
0,10,per_ccd,3.42,1.245,2.175
0,10,per_ddc,2.315,0.69,1.625
0,10,mistrust,1.03,1.03,0.0
0,10,WSLS,3.0,2.975,0.02499999999999991
