i,objective,rank,avg,gap,head_mean,head_min,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold
18,2.667429545454544,1,2.735454545454544,0.00999999999999801,0.28312499999999996,-1.275,0.6755231955139709,1.7757654277403394,1.177870810830368,0.147958894858677,0.1578227358379154,0.4513066420546936,0.6494826005232609,0.7948897454757264,0.7255201392354574,0.34117703960820056,0.21776853269584448,2,7,2.8021355670373613,0.486161121231991,0.7120492231927981,0.22682195541498149,0.7661524703811297,0.1349561264142021,0.46322304189293473,0.3983579177257706,0.6238883270100845,0.7948867949654154,0.28776841143728,0.32340856160990433,0.10656441861758317
8,2.665538825757575,2,2.732757575757575,-0.00039393939394205546,0.25984375000000004,-1.23,0.7711840285794926,1.7606267328250438,1.1492572394969869,0.1026298521273387,0.2150906167378472,0.5218190310950496,0.6516632581809352,0.7155896975697641,0.7796992303923661,0.37459264715563667,0.18896056191114882,2,8,2.8440819210544017,0.4892539609781285,0.623495539934651,0.36859112646397146,0.7465037915251205,0.19657837113554857,0.5198122227876439,0.3215585310970004,0.562246976587064,0.7290532980145361,0.2978471975548323,0.25166831329078976,-0.06876054603483364
2,2.646635984848482,3,2.7048484848484824,-0.022969696969699083,0.27156249999999993,-1.135,0.7571004295094129,1.8263573458982767,1.1576768651841727,0.1210643020273453,0.20810358444667298,0.4906549291314084,0.6156275244997899,0.7141847312322326,0.748910962321685,0.31535497588957345,0.18038289913249222,1,10,2.729521683361105,0.5692658934353239,0.7280554108699915,0.2817000163316697,0.7537872206979553,0.236439536425058,0.3816842072262774,0.31364237151121266,0.6336087183466663,0.8315890090765842,0.3445953225991406,0.2593022172114986,0.13494790124319145
70,2.6461589015151525,3,2.704515151515152,-0.02330303030303016,0.29703124999999997,-1.175,0.6419053304699888,1.7774983021001378,1.133027566745619,0.20741870128466106,0.30020571891106224,0.4605930009183783,0.6779709441823623,0.654868358447944,0.7084772802278205,0.2791726245409317,0.16903876592089156,2,8,2.8602082409414633,0.3723206029717639,0.6057851828065877,0.33193016119330554,0.7915459914193349,0.22339056126906903,0.4920434317442141,0.3107004422483055,0.6929919940380457,0.7400815106736731,0.24081097609032098,0.25179148778686206,0.10005098315303684
34,2.644503977272727,3,2.696272727272727,-0.028757575757577314,0.29859375,-1.095,0.634535067240517,1.6838304710849772,1.0737091896670086,0.13718239676659214,0.23284190888393186,0.5352198472750356,0.7084336696787286,0.6665727613491451,0.7421144000631531,0.28927051184980057,0.19437442811683223,2,9,2.7561370074591927,0.44579203617206453,0.6355479221788001,0.37257243908561244,0.7846664618508598,0.15659331865515436,0.39374762041266037,0.3047600036008138,0.6774819932381624,0.8692627339892108,0.277696125092123,0.18699985837524324,-0.012469124340167427
16,2.6430039772727256,3,2.7042727272727256,-0.0236666666666685,0.27609374999999997,-1.18,0.7226209247081218,1.723446054339952,1.1952270947960415,0.10561874064959317,0.1632819648888904,0.4688401709226986,0.6247155883704087,0.706821628444631,0.7565765231408869,0.34468512193539225,0.23872765821276262,1,10,2.7706623281047698,0.5882286812383453,0.62121329482138,0.3446645871746685,0.7757037593451059,0.2265145179640214,0.47739959608413235,0.3379312475261048,0.5920403294569859,0.7242900426793176,0.24746724889006344,0.18838319399392017,0.08374998544480244
62,2.6390539772727264,3,2.6982727272727267,-0.03706060606060735,0.29984374999999996,-1.19,0.7246039977501103,1.7296562397112845,1.2094204638521455,0.15998963637936442,0.2387148595242572,0.5586894158762843,0.6928433424520771,0.7759178247817013,0.7397853435502058,0.3187279148064128,0.28826817614225037,2,6,2.8202265120382277,0.5850546453157798,0.6766028811875835,0.24475217619975265,0.8035187372170917,0.11159890999448195,0.4750284621868957,0.27839708866315127,0.5744764466297819,0.7450647705923548,0.30212075819817347,0.18742689096537096,0.12080413669584061
78,2.6378668560606067,3,2.7040606060606067,-0.027666666666667616,0.29171874999999997,-1.2650000000000001,0.7204995872372701,1.8089534450827278,1.1543802896533912,0.19972299108166763,0.28049397991100117,0.4695650180858523,0.7610608050153364,0.644562757572455,0.7750599928698222,0.27667278916160976,0.2632711200758683,2,8,2.854076925569525,0.3607982530304997,0.6696387900328563,0.3414140389388906,0.7576357371734326,0.1735725461962822,0.40191742103356903,0.27493150153953505,0.5759676923771488,0.7447395220826207,0.3449103529077087,0.19751573313616982,0.023061847626205133
32,2.6374803030303027,3,2.6960303030303026,-0.032939393939395156,0.29874999999999996,-1.1800000000000002,0.6793326604643463,1.7507424456972387,1.172138628649749,0.1686870643686032,0.20258154021973115,0.5395154630974047,0.6806738114019432,0.6972276603869758,0.7933865181536933,0.298503572126538,0.20747909479904283,2,8,2.780077424279423,0.37633423376947095,0.5699177441853553,0.3309730981287409,0.7334958649810311,0.1766185715382505,0.43411187521574635,0.2961516522506148,0.5831541336105357,0.8173518301576839,0.26246592817250114,0.2447336574123054,-0.06594017940425215
22,2.636988257575755,3,2.698575757575755,-0.03612121212121622,0.29343749999999996,-1.21,0.676318551103803,1.776929415954148,1.1874528329661589,0.21951158382634883,0.2978879648936137,0.5318388288751672,0.6466879824622185,0.7492768920451265,0.6854368751507735,0.27791626223468285,0.2641746715629476,1,10,2.766063506566481,0.5399022417873947,0.6274893809686832,0.22326820572412392,0.6971732247686828,0.20843255512147013,0.48180199202095497,0.3315158157734303,0.6839243836093282,0.8327416352669746,0.37027102709701626,0.2536160026083153,0.056552322987044885
19,2.636338446969696,3,2.6979696969696962,-0.029848484848486123,0.29640625,-1.2149999999999999,0.6402205363933067,1.6870110770680005,1.1379743134186477,0.14367741658271121,0.1591946458647642,0.536097175510926,0.6288906453086268,0.7441137935244156,0.672981853701334,0.37580609845299795,0.28412504184029413,2,9,2.7345188127792333,0.513047940165592,0.6713145122950703,0.28153767764837845,0.742207578323932,0.21343544944755155,0.3860977051566901,0.30216879944829533,0.6594862439609698,0.8123535656108124,0.35447711403885485,0.2780469649693124,-0.027942950515763447
29,2.635599621212118,3,2.6982121212121184,-0.025454545454549393,0.2815625,-1.205,0.7745835468983037,1.8030365383279439,1.1501630323592986,0.09796380650533068,0.1795509094587476,0.48135015024405714,0.7104305979994971,0.6669056796161966,0.6635261133954105,0.3005181603237237,0.20572174632778822,1,7,2.8613471592606867,0.45862065674074,0.5835675944789539,0.3057868707802097,0.6817419539294828,0.20971640825873222,0.47684231744339944,0.33392200062148236,0.5793676622303873,0.8168233371997594,0.2566802742588105,0.29460837366085746,0.039242156364904364
40,2.6348867424242424,3,2.694424242424242,-0.0410000000000017,0.28718749999999993,-1.175,0.6349933842389824,1.6902035545622298,1.1669143521306937,0.10910962348883889,0.20792681983115066,0.45852623626192435,0.6447826257024308,0.6714586882033321,0.6966121895856382,0.26526034638720575,0.1613349080005544,2,8,2.72137751964496,0.3872855601197728,0.5948115240491638,0.3693610287020128,0.7923275241131494,0.19752727121628336,0.47937357950739934,0.305668496850687,0.6220961612512119,0.7831394694551925,0.3349658292542,0.22839824168128045,0.10840689852283011
66,2.6335013257575755,3,2.6947575757575755,-0.03160606060606108,0.2895312499999999,-1.2000000000000002,0.752954597917687,1.7936368692550435,1.212050351922964,0.2507030427419489,0.20196637880783788,0.5518249321761903,0.6204043140920473,0.739817081186199,0.7958595530530876,0.38373363003634003,0.19488175191637225,2,6,2.7563525805364906,0.5903183369023519,0.6566619228569587,0.3711089502360939,0.6967917372336281,0.17002943218177882,0.3810693665184708,0.2739082210403161,0.6977806234421216,0.7758819668968273,0.24316094075004183,0.27196401459457104,0.13192453686911265
