i,rank,avg,gap,head_mean,head_min,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold
22,1,2.7480454545454496,0.020363636363637028,0.27375,-1.18625,0.7970318987258833,1.7484215744267717,1.1748362839237547,0.1719882446471596,0.1981466746536751,0.4680318288312908,0.6296453615407082,0.7481009481032428,0.6953116288253096,0.27414478572035234,0.1971320205106218,1,7,2.8386921604945,0.4692229031976523,0.7032410544327267,0.25209400445499613,0.7167530870430192,0.2206273718957803,0.4595765923761239,0.3708895102533749,0.6884508867338086,0.7778381000167002,0.3737140956702022,0.2796625228249378,0.06654122580196127
21,1,2.7478636363636295,0.02018181818181697,0.27335937499999996,-1.18625,0.7927760860517149,1.7424766806070173,1.1858075919145754,0.15510260779550208,0.2150216101199777,0.3986840711335121,0.6270991107745635,0.6992100537284901,0.758948877668984,0.2970692749459159,0.2115367247701473,1,7,2.8066604031813425,0.3688890434226652,0.6491982413085101,0.24048140691711078,0.718056121600032,0.16928581870066906,0.4861126937105657,0.3138507566868812,0.6866016219153577,0.7045797962620927,0.35604684268013964,0.2863935896017984,0.09304087414918102
25,1,2.747439393939388,0.020060606060606112,0.28609375,-1.1775,0.7667563284658557,1.7558208894559308,1.136124874679506,0.21410889926437882,0.20232636105504562,0.430786431505335,0.6035407376939941,0.6838032742936913,0.7543892698585658,0.3059657905853975,0.23725375383614522,2,5,2.8417731244583635,0.35226592354189207,0.7144784542058996,0.1938055423473214,0.7788429325677352,0.16995745696687964,0.46222318024876147,0.34373668815020864,0.693773934964675,0.7064575793926283,0.34402746503526965,0.28713303018173625,0.006404801825963327
7,1,2.74740151515151,0.020022727272727803,0.28570312499999995,-1.1775,0.8087695773042861,1.713387442869388,1.1455266278274987,0.17229016586494503,0.2072914216980374,0.4666378644179785,0.614099725292833,0.7164392049138008,0.7376371023527121,0.24272797653920916,0.232027470289909,2,7,2.942379070071518,0.3853062560464259,0.6723068854640483,0.2509884471907898,0.7872172617268106,0.16409628467489268,0.43566495777921016,0.33814427723738055,0.6911216279540794,0.7568855197026741,0.35597187850150513,0.3407286042448952,0.08134770616273822
23,1,2.747363636363632,0.019984848484849937,0.28527343749999995,-1.1775,0.753487457220633,1.7137760372934492,1.1669246460952225,0.17800610873381403,0.19794736568596752,0.415611195317576,0.6388549892400278,0.6924506629818319,0.7469994357767824,0.3143504908742622,0.22387949039216476,2,7,2.870218209636339,0.4445220666601676,0.648920702801435,0.24952979153801985,0.7792680298338169,0.20369254111765436,0.48675593474793877,0.3418342918131925,0.6607650061065838,0.751914333728714,0.35124299037191387,0.29731431956257537,0.03786457846430162
8,1,2.747159090909086,0.01978030303030387,0.28453124999999996,-1.1775,0.7533180528813319,1.685164467534618,1.1574012651977899,0.19518217763772208,0.19549648587412807,0.43925405196026684,0.6421153286108101,0.7002142677689568,0.7353400178148194,0.29490253361517965,0.21363558728370785,2,5,2.9483577585192955,0.4300305569619277,0.6626754655900545,0.19583249678011178,0.7380459345295516,0.16853077351349705,0.4940288871365365,0.35876604561503594,0.6534473699012582,0.7681745123439485,0.3232490591822777,0.31974179839124645,0.10971501834600615
32,1,2.747106060606056,0.019727272727274148,0.284453125,-1.1775,0.8116951288555478,1.7320463238470312,1.1410788694125762,0.18276415145186095,0.21371647687465414,0.3961188536832093,0.6276270534699038,0.7298040293571344,0.7183861782600078,0.2916882521623665,0.26544301327284453,2,8,2.8535867259161263,0.37368560829702147,0.677774227368767,0.2192972357747736,0.77712164053962,0.21168967351265539,0.43228129393774706,0.3597237037066214,0.6219967210042341,0.7377432891114978,0.34351498010278847,0.2797054409294304,0.08183544501215863
24,1,2.7464924242424185,0.019113636363636388,0.2825390625,-1.1775,0.7521351443039559,1.6850622959028863,1.1767044637435498,0.18925502534973326,0.23601946753510983,0.4256483441247175,0.6210069216568734,0.7258225040795689,0.6959610005708831,0.2813695605117465,0.2332974994438149,2,8,2.8737545638745408,0.4133786247196651,0.7038870791123422,0.26142835449307966,0.7299631032525102,0.19939271050535196,0.46899979808719816,0.3674871971769006,0.6526494340162082,0.7421779544864289,0.3905294699821245,0.3326541953824657,0.015424935349673902
11,1,2.7464696969696925,0.01909090909091038,0.28246093749999995,-1.1775,0.7800470845059156,1.7447183528078363,1.1508422777531786,0.14914610097450798,0.21466700982063597,0.44221877605804044,0.6394448430842896,0.690564335596657,0.7104835830770302,0.2549618026778522,0.2073765565845907,2,7,2.8038832859789324,0.41320654031799475,0.7101098145386603,0.23292438205837604,0.7624538456444077,0.19056477926335472,0.4210631301883703,0.35041511142417897,0.6331685398926586,0.7161168629973043,0.3323816781103303,0.32602340914192907,0.0014186013831073846
16,1,2.7463030303030247,0.01892424242424262,0.28238281249999997,-1.1775,0.750823523763633,1.6966685615134023,1.1666498273921808,0.16061491499411193,0.23893776638632797,0.41457039337879337,0.6374696693316941,0.7369127766341159,0.7102669005039959,0.27044187881962434,0.25545286541583223,2,5,2.8016735437408973,0.35669390482456065,0.669037908101904,0.21582347906379912,0.7623229475661439,0.15262796775053927,0.47242056976287083,0.3453806568279324,0.6814594631880165,0.7006601456846231,0.38930632261334125,0.27203449630678683,0.00871016648430871
