seed,repetition,opponent,eleanor_avg,opponent_avg,margin
0,7,GrdTFT,3.01,2.985,0.02499999999999991
0,7,prober,3.005,2.98,0.02499999999999991
0,7,mem2,3.01,2.985,0.02499999999999991
0,7,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,7,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,7,Nydegger,3.01,2.985,0.02499999999999991
0,7,Grofman,3.01,2.985,0.02499999999999991
0,7,Shubik,3.01,2.985,0.02499999999999991
0,7,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,7,GRIM,3.01,2.985,0.02499999999999991
0,7,Davis: 10,3.01,2.985,0.02499999999999991
0,7,Graaskamp: 0.05,3.41,2.135,1.2750000000000004
0,7,Downing,1.125,1.05,0.07499999999999996
0,7,"Feld: 1.0, 0.5, 200",2.025,2.4,-0.375
0,7,Joss: 0.9,1.395,1.595,-0.19999999999999996
0,7,Tullock,1.485,1.485,0.0
0,7,Anonymous,2.97,0.745,2.225
0,7,Random: 0.5,3.01,0.585,2.425
0,8,Cu,3.01,2.985,0.02499999999999991
0,8,Du,0.975,1.1,-0.1250000000000001
0,8,Tit For Tat,3.01,2.985,0.02499999999999991
0,8,spiteful,3.01,2.985,0.02499999999999991
0,8,soft_majo,3.01,2.985,0.02499999999999991
0,8,hard_majo,2.99,2.99,0.0
0,8,per_cd,2.685,1.31,1.375
0,8,per_ccd,3.29,1.19,2.1
0,8,per_ddc,2.29,0.765,1.525
0,8,mistrust,2.99,2.99,0.0
0,8,WSLS,3.01,2.985,0.02499999999999991
0,8,TFTT,3.01,2.985,0.02499999999999991
0,8,hard_tft,3.01,2.985,0.02499999999999991
0,8,slow_tft,3.01,2.985,0.02499999999999991
0,8,GrdTFT,3.01,2.985,0.02499999999999991
0,8,prober,3.005,2.98,0.02499999999999991
0,8,mem2,3.01,2.985,0.02499999999999991
0,8,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,8,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,8,Nydegger,3.01,2.985,0.02499999999999991
0,8,Grofman,3.01,2.985,0.02499999999999991
0,8,Shubik,3.01,2.985,0.02499999999999991
0,8,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,8,GRIM,3.01,2.985,0.02499999999999991
0,8,Davis: 10,3.01,2.985,0.02499999999999991
0,8,Graaskamp: 0.05,3.435,2.135,1.3000000000000003
0,8,Downing,1.125,1.05,0.07499999999999996
0,8,"Feld: 1.0, 0.5, 200",1.865,2.215,-0.34999999999999987
0,8,Joss: 0.9,2.215,2.515,-0.30000000000000027
0,8,Tullock,1.4,1.4,0.0
0,8,Anonymous,2.75,0.65,2.1
0,8,Random: 0.5,2.83,0.63,2.2
0,9,Cu,3.01,2.985,0.02499999999999991
0,9,Du,0.975,1.1,-0.1250000000000001
0,9,Tit For Tat,3.01,2.985,0.02499999999999991
0,9,spiteful,3.01,2.985,0.02499999999999991
0,9,soft_majo,3.01,2.985,0.02499999999999991
0,9,hard_majo,2.99,2.99,0.0
0,9,per_cd,2.685,1.31,1.375
0,9,per_ccd,3.29,1.19,2.1
0,9,per_ddc,2.29,0.765,1.525
0,9,mistrust,2.99,2.99,0.0
0,9,WSLS,3.01,2.985,0.02499999999999991
0,9,TFTT,3.01,2.985,0.02499999999999991
0,9,hard_tft,3.01,2.985,0.02499999999999991
0,9,slow_tft,3.01,2.985,0.02499999999999991
0,9,GrdTFT,3.01,2.985,0.02499999999999991
0,9,prober,3.005,2.98,0.02499999999999991
0,9,mem2,3.01,2.985,0.02499999999999991
0,9,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,9,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,9,Nydegger,3.01,2.985,0.02499999999999991
0,9,Grofman,3.01,2.985,0.02499999999999991
0,9,Shubik,3.01,2.985,0.02499999999999991
0,9,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,9,GRIM,3.01,2.985,0.02499999999999991
0,9,Davis: 10,3.01,2.985,0.02499999999999991
0,9,Graaskamp: 0.05,3.34,2.29,1.0499999999999998
0,9,Downing,1.125,1.05,0.07499999999999996
0,9,"Feld: 1.0, 0.5, 200",1.65,1.925,-0.27500000000000013
