iteration,objective,trust_gain_c,trust_loss_d,betrayal_pressure,deadlock_pressure,mutual_relief,volatility_gain,volatility_decay,repair_gain,repair_decay,grace_gain,grace_loss,endgame_rounds,coop_streak_gate,pressure_gate,trust_gate,bias,trust_weight,pressure_weight,volatility_weight,repair_weight,grace_weight,recent_coop_weight,recent_defect_weight,betrayal_weight,score_gap_weight,threshold,rank,average_score_per_turn,gap_to_best_other,head_mean_margin,head_min_margin,head_negative_count
49,2.5838865530303026,0.4572298799808914,0.8287904507111664,1.464444430833929,0.25651685240796274,0.2855714155616914,0.7990204221142969,0.7000043542302354,0.9054704712428842,0.6689292634244656,0.3199127203864088,0.5570797901200026,2,4,1.854166477383382,0.24644177744582957,0.110064608467214,0.5328911677244091,0.6595721906722167,0.2727288306632516,0.3570048144340168,0.16151414674277048,0.3735858734589166,0.8405504296538,0.2647641201222563,0.07677089004015893,0.1781024703328454,6,2.6380303030303027,-0.09527272727272917,0.30546875,-1.1350000000000002,5
29,2.5829693181818167,0.6411884831341825,1.6100843245055705,1.836200394448492,0.36814390905089045,0.3495445606679851,0.8917776261339081,0.8208426927957853,0.5423673940506776,0.4969392581307813,0.2546887973896977,0.2706041893621295,1,5,2.237019346085038,0.10247733800711839,0.33459146022104874,0.33188419174798367,0.5648529302500161,0.3893534652858607,0.4310584589236165,0.3185667281886749,0.15016466162675754,0.889902368605239,0.5258316565489614,0.25864543884378216,0.25145887776504616,6,2.6431818181818167,-0.08687878787878978,0.31156249999999996,-1.22,7
62,2.5824982954545463,0.632974318717248,1.327282513072141,1.8453679746433638,0.48510136709336504,0.31020266728031215,0.5126569296601393,0.7185977643317585,0.5241731852426015,0.3810345900981185,0.082274315039188,0.46615660527824865,0,6,2.6490181660736374,0.05553390041747036,-0.1482153737790836,0.22868581152952835,0.9948042098241212,0.22094502933754476,0.25826738967558555,0.3900135402460315,0.6896089759356437,0.389841078191127,0.5394194735225466,0.20056557115362572,0.12232525404609373,6,2.627454545454546,-0.09696969696969715,0.31203125,-1.03,7
31,2.58189337121212,0.861507466761811,1.4252714258504922,1.5593203695408488,0.4424861934927099,0.3351677933103826,0.5770318087213495,0.8491430175836043,0.48651803144056543,0.5758952366739958,0.3065732766392954,0.5559328965950243,1,7,1.8011018909903926,0.0668220015874676,0.39674443744453386,0.4338828815684659,0.49183150070808357,0.280168506212523,0.6191830738561969,0.1684067938895481,0.3667334767916264,0.7865923151942018,0.38218080141797145,0.09738228078108954,0.39893231649221783,6,2.63921212121212,-0.09151515151515355,0.29234375,-1.155,7
21,2.5818564393939383,0.6147837363322306,1.6398389147451091,1.0659470019745363,0.2562952409277006,0.2512822216396795,0.6736579364357624,0.6170016676345333,0.6868479739644646,0.3933683494466041,0.3271971014061796,0.22941538206723638,2,5,2.5857548067596583,0.7028971224936456,0.13696491574205072,0.4881131145434253,0.6431540540666214,0.23577609685822407,0.6185121159036934,0.3519111756846936,0.6416660473019421,0.5324477613211156,0.47918938234749514,0.08154762797538584,0.10620609063522593,6,2.6433939393939383,-0.08760606060606246,0.28718750000000004,-1.2,5
58,2.5804719696969696,0.5074930026349709,1.475783045681177,1.4741802694450241,0.45831615942793946,0.4849024367310735,0.5012783962190391,0.6514689107235548,1.1211166862028592,0.6543566857038782,0.19528881691925387,0.6896221842620728,2,5,2.8883722133216203,0.7880664439404357,0.6236221228570407,0.20826174858595659,0.7261324089972111,0.15565314771214556,0.4707289145013388,0.20786657977133094,0.6191781556414454,0.3542212596054831,0.6544938098462401,0.26340543284021306,-0.0023769365175100865,4,2.6436969696969697,-0.08339393939394046,0.313125,-1.2600000000000002,5
67,2.5798212121212134,0.7650032032844014,0.9064047100665096,1.7522137493068026,0.38906089899096385,0.2675507118763427,1.0518840247529293,0.77240725653555,0.91589734435247,0.8175872166414873,0.33608404436427347,0.7111381006026967,0,9,2.468965023623756,0.23784226689223492,0.7540841940958554,0.30876743883252367,0.6331356503907555,0.37562854908910037,0.27432370265216693,0.24407446029514113,0.2684175692441169,0.5701547209760052,0.6481461118745737,0.06276179067795142,0.2743667480972798,6,2.6471212121212133,-0.0777272727272722,0.28250000000000003,-1.265,7
26,2.5797124999999985,0.46964738908737447,1.6525028671625575,1.067523508811635,0.22325427936991257,0.20007826996603184,1.052028422942635,0.5470349962113056,0.9609155641983455,0.5148585079832815,0.24018362192722237,0.5196536121006965,1,9,2.2733859769862774,0.7020300905921788,0.5144713514896964,0.2037285115786971,0.9957798470048691,0.2667062201213021,0.1518368978108935,0.23868341892470957,0.6026737427787375,0.6491966220969317,0.40437047740535187,0.21913937653933052,-0.04540007388009741,5,2.6389999999999985,-0.09390909090909227,0.3059375,-1.2,7
30,2.5791990530303033,0.8793712155883989,1.7655853641742905,1.4293201104373632,0.3695789304406659,0.20328431134912323,0.46039668277215895,0.5209029385040593,1.0264349067070488,0.5000764826026133,0.08974879367145183,0.5725784885588032,0,5,2.824912899887836,0.7542867314038486,0.21770577128617846,0.411844806455699,0.6932191941950551,0.14726669494711003,0.4132004574443533,0.30547542686722334,0.2677705388285724,0.4649323528686387,0.5306604888846482,0.32509597640152205,-0.038802687095146365,5,2.643030303030303,-0.0874242424242424,0.28140624999999997,-1.2200000000000002,7
12,2.5789782196969697,0.5032498370669156,1.5780924025949927,1.8095276654915113,0.3634452001367088,0.5440799384507473,0.4658804948476688,0.5029849107393667,1.080215934195592,0.8274252606047598,0.32942798524258343,0.28188479785757226,2,7,2.592735107411375,0.037042515677520205,0.6383205511764016,0.44780242467293774,0.9985292209471477,0.367534792858624,0.4135269311682789,0.1792672710187846,0.1651563399228412,0.6449321623209097,0.9372202211032361,0.06260336520851206,0.5350746274488252,6,2.6426969696969693,-0.08472727272727276,0.32234375000000004,-1.2799999999999998,5
