seed,repetition,opponent,eleanor_avg
0,17,hard_tft,3.01
0,17,slow_tft,3.01
0,17,GrdTFT,3.01
0,17,prober,3.005
0,17,mem2,3.01
0,17,grok:grok-3-mini,3.01
0,17,Tideman & Chieruzzi,2.975
0,17,Nydegger,3.01
0,17,Grofman,3.01
0,17,Shubik,3.01
0,17,Stein & Rapoport: 0.05,2.975
0,17,GRIM,3.01
0,17,Davis: 10,3.01
0,17,Graaskamp: 0.05,3.405
0,17,Downing,1.125
0,17,"Feld: 1.0, 0.5, 200",1.9
0,17,Joss: 0.9,2.175
0,17,Tullock,1.435
0,17,Anonymous,2.815
0,17,Random: 0.5,3.075
0,18,Cu,3.01
0,18,Du,0.975
0,18,Tit For Tat,3.01
0,18,spiteful,3.01
0,18,soft_majo,3.01
0,18,hard_majo,2.99
0,18,per_cd,2.685
0,18,per_ccd,3.29
0,18,per_ddc,2.29
0,18,mistrust,2.99
0,18,WSLS,3.01
0,18,TFTT,3.01
0,18,hard_tft,3.01
0,18,slow_tft,3.01
0,18,GrdTFT,3.01
0,18,prober,3.005
0,18,mem2,3.01
0,18,grok:grok-3-mini,3.01
0,18,Tideman & Chieruzzi,2.975
0,18,Nydegger,3.01
0,18,Grofman,3.01
0,18,Shubik,3.01
0,18,Stein & Rapoport: 0.05,2.975
0,18,GRIM,3.01
0,18,Davis: 10,3.01
0,18,Graaskamp: 0.05,3.435
0,18,Downing,1.125
0,18,"Feld: 1.0, 0.5, 200",1.585
0,18,Joss: 0.9,2.24
0,18,Tullock,1.65
0,18,Anonymous,2.975
0,18,Random: 0.5,2.83
0,19,Cu,3.01
0,19,Du,0.975
0,19,Tit For Tat,3.01
0,19,spiteful,3.01
0,19,soft_majo,3.01
0,19,hard_majo,2.99
0,19,per_cd,2.685
0,19,per_ccd,3.29
0,19,per_ddc,2.29
0,19,mistrust,2.99
0,19,WSLS,3.01
0,19,TFTT,3.01
0,19,hard_tft,3.01
0,19,slow_tft,3.01
0,19,GrdTFT,3.01
0,19,prober,3.005
0,19,mem2,3.01
0,19,grok:grok-3-mini,3.01
0,19,Tideman & Chieruzzi,2.975
0,19,Nydegger,3.01
0,19,Grofman,3.01
0,19,Shubik,3.01
0,19,Stein & Rapoport: 0.05,2.975
0,19,GRIM,3.01
0,19,Davis: 10,3.01
0,19,Graaskamp: 0.05,3.54
0,19,Downing,1.125
0,19,"Feld: 1.0, 0.5, 200",1.705
0,19,Joss: 0.9,2.215
0,19,Tullock,1.24
0,19,Anonymous,2.655
0,19,Random: 0.5,2.78
1,0,Cu,3.01
1,0,Du,0.975
1,0,Tit For Tat,3.01
1,0,spiteful,3.01
1,0,soft_majo,3.01
1,0,hard_majo,2.99
1,0,per_cd,2.685
1,0,per_ccd,3.29
1,0,per_ddc,2.29
1,0,mistrust,2.99
1,0,WSLS,3.01
1,0,TFTT,3.01
1,0,hard_tft,3.01
1,0,slow_tft,3.01
1,0,GrdTFT,3.01
1,0,prober,3.005
1,0,mem2,3.01
1,0,grok:grok-3-mini,3.01
1,0,Tideman & Chieruzzi,2.975
1,0,Nydegger,3.01
1,0,Grofman,3.01
1,0,Shubik,3.01
1,0,Stein & Rapoport: 0.05,2.975
1,0,GRIM,3.01
1,0,Davis: 10,3.01
1,0,Graaskamp: 0.05,3.42
1,0,Downing,1.125
1,0,"Feld: 1.0, 0.5, 200",1.9
1,0,Joss: 0.9,1.275
1,0,Tullock,1.685
1,0,Anonymous,3.035
1,0,Random: 0.5,2.83
1,1,Cu,3.01
1,1,Du,0.975
1,1,Tit For Tat,3.01
1,1,spiteful,3.01
1,1,soft_majo,3.01
1,1,hard_majo,2.99
1,1,per_cd,2.685
1,1,per_ccd,3.29
1,1,per_ddc,2.29
1,1,mistrust,2.99
1,1,WSLS,3.01
1,1,TFTT,3.01
1,1,hard_tft,3.01
1,1,slow_tft,3.01
1,1,GrdTFT,3.01
1,1,prober,3.005
1,1,mem2,3.01
1,1,grok:grok-3-mini,3.01
1,1,Tideman & Chieruzzi,2.975
1,1,Nydegger,3.01
1,1,Grofman,3.01
1,1,Shubik,3.01
1,1,Stein & Rapoport: 0.05,2.975
1,1,GRIM,3.01
1,1,Davis: 10,3.01
1,1,Graaskamp: 0.05,3.43
1,1,Downing,1.125
1,1,"Feld: 1.0, 0.5, 200",1.945
1,1,Joss: 0.9,1.805
1,1,Tullock,1.71
1,1,Anonymous,2.725
1,1,Random: 0.5,3.065
1,2,Cu,3.01
1,2,Du,0.975
1,2,Tit For Tat,3.01
1,2,spiteful,3.01
1,2,soft_majo,3.01
1,2,hard_majo,2.99
1,2,per_cd,2.685
1,2,per_ccd,3.29
1,2,per_ddc,2.29
1,2,mistrust,2.99
1,2,WSLS,3.01
1,2,TFTT,3.01
1,2,hard_tft,3.01
1,2,slow_tft,3.01
1,2,GrdTFT,3.01
1,2,prober,3.005
1,2,mem2,3.01
1,2,grok:grok-3-mini,3.01
1,2,Tideman & Chieruzzi,2.975
1,2,Nydegger,3.01
1,2,Grofman,3.01
1,2,Shubik,3.01
1,2,Stein & Rapoport: 0.05,2.975
1,2,GRIM,3.01
1,2,Davis: 10,3.01
1,2,Graaskamp: 0.05,3.535
1,2,Downing,1.125
1,2,"Feld: 1.0, 0.5, 200",1.805
1,2,Joss: 0.9,2.34
1,2,Tullock,1.195
1,2,Anonymous,3.045
1,2,Random: 0.5,3.245
1,3,Cu,3.01
1,3,Du,0.975
1,3,Tit For Tat,3.01
1,3,spiteful,3.01
1,3,soft_majo,3.01
1,3,hard_majo,2.99
1,3,per_cd,2.685
1,3,per_ccd,3.29
1,3,per_ddc,2.29
1,3,mistrust,2.99
1,3,WSLS,3.01
1,3,TFTT,3.01
1,3,hard_tft,3.01
1,3,slow_tft,3.01
1,3,GrdTFT,3.01
1,3,prober,3.005
1,3,mem2,3.01
1,3,grok:grok-3-mini,3.01
1,3,Tideman & Chieruzzi,2.975
1,3,Nydegger,3.01
1,3,Grofman,3.01
1,3,Shubik,3.01
1,3,Stein & Rapoport: 0.05,2.975
1,3,GRIM,3.01
1,3,Davis: 10,3.01
1,3,Graaskamp: 0.05,3.435
1,3,Downing,1.125
1,3,"Feld: 1.0, 0.5, 200",1.835
1,3,Joss: 0.9,2.435
1,3,Tullock,1.455
1,3,Anonymous,3.145
1,3,Random: 0.5,2.75
1,4,Cu,3.01
1,4,Du,0.975
1,4,Tit For Tat,3.01
1,4,spiteful,3.01
1,4,soft_majo,3.01
1,4,hard_majo,2.99
1,4,per_cd,2.685
1,4,per_ccd,3.29
1,4,per_ddc,2.29
1,4,mistrust,2.99
1,4,WSLS,3.01
1,4,TFTT,3.01
1,4,hard_tft,3.01
1,4,slow_tft,3.01
1,4,GrdTFT,3.01
1,4,prober,3.005
1,4,mem2,3.01
1,4,grok:grok-3-mini,3.01
1,4,Tideman & Chieruzzi,2.975
1,4,Nydegger,3.01
1,4,Grofman,3.01
1,4,Shubik,3.01
1,4,Stein & Rapoport: 0.05,2.975
1,4,GRIM,3.01
1,4,Davis: 10,3.01
1,4,Graaskamp: 0.05,3.445
1,4,Downing,1.125
1,4,"Feld: 1.0, 0.5, 200",1.695
1,4,Joss: 0.9,2.195
1,4,Tullock,1.67
1,4,Anonymous,3.045
1,4,Random: 0.5,2.75
1,5,Cu,3.01
1,5,Du,0.975
1,5,Tit For Tat,3.01
1,5,spiteful,3.01
1,5,soft_majo,3.01
1,5,hard_majo,2.99
1,5,per_cd,2.685
1,5,per_ccd,3.29
1,5,per_ddc,2.29
1,5,mistrust,2.99
1,5,WSLS,3.01
1,5,TFTT,3.01
1,5,hard_tft,3.01
1,5,slow_tft,3.01
1,5,GrdTFT,3.01
1,5,prober,3.005
1,5,mem2,3.01
1,5,grok:grok-3-mini,3.01
1,5,Tideman & Chieruzzi,2.975
1,5,Nydegger,3.01
1,5,Grofman,3.01
1,5,Shubik,3.01
1,5,Stein & Rapoport: 0.05,2.975
1,5,GRIM,3.01
1,5,Davis: 10,3.01
1,5,Graaskamp: 0.05,3.42
1,5,Downing,1.125
1,5,"Feld: 1.0, 0.5, 200",1.715
1,5,Joss: 0.9,2.085
1,5,Tullock,1.46
1,5,Anonymous,2.905
1,5,Random: 0.5,2.685
1,6,Cu,3.01
1,6,Du,0.975
1,6,Tit For Tat,3.01
1,6,spiteful,3.01
1,6,soft_majo,3.01
1,6,hard_majo,2.99
1,6,per_cd,2.685
1,6,per_ccd,3.29
1,6,per_ddc,2.29
1,6,mistrust,2.99
1,6,WSLS,3.01
1,6,TFTT,3.01
1,6,hard_tft,3.01
1,6,slow_tft,3.01
1,6,GrdTFT,3.01
1,6,prober,3.005
1,6,mem2,3.01
1,6,grok:grok-3-mini,3.01
1,6,Tideman & Chieruzzi,2.975
1,6,Nydegger,3.01
1,6,Grofman,3.01
1,6,Shubik,3.01
1,6,Stein & Rapoport: 0.05,2.975
1,6,GRIM,3.01
1,6,Davis: 10,3.01
1,6,Graaskamp: 0.05,3.485
1,6,Downing,1.125
1,6,"Feld: 1.0, 0.5, 200",1.855
1,6,Joss: 0.9,2.265
1,6,Tullock,1.43
1,6,Anonymous,3.135
1,6,Random: 0.5,3.105
1,7,Cu,3.01
1,7,Du,0.975
1,7,Tit For Tat,3.01
1,7,spiteful,3.01
1,7,soft_majo,3.01
1,7,hard_majo,2.99
1,7,per_cd,2.685
1,7,per_ccd,3.29
1,7,per_ddc,2.29
1,7,mistrust,2.99
